Termino_Ingles,Transcripcion_IPA
now,naʊ
alvin,ˈælvɪn
frost,frɔst
artisan,ˈɑrtəzən
zing,zɪŋ
tepid,ˈtɛpɪd
nightly,ˈnaɪtli
waft,wɑft
infallible,ˌɪnˈfæləbəl
tardy,ˈtɑrdi
extrapolate,ɛkˈstræpəˌleɪt
reallocation,riˌæləˈkeɪʃən
soft,sɔft
unsatisfying,ənˈsætɪsˌfaɪɪŋ
goosefoot,ˈgusˌfʊt
catbird,ˈkætˌbərd
jacinth,ˈʤæsɪnθ
socially,ˈsoʊʃəli
clamor,ˈklæmər
snobby,sˈnɑbi
justice,ˈʤəstɪs
outcast,ˈaʊtˌkæst
correspondingly,ˌkɔrəˈspɑndɪŋli
turf,tərf
pummel,ˈpəməl
successive,səkˈsɛsɪv
cholera,ˈkɑlərə
phenomenon,fəˈnɑməˌnɑn
dixy,ˈdɪksi
hypotension,ˌhaɪpoʊˈtɛnʃən
tufa,ˈtufə
seer,sir
stayed,steɪd
nimbus,ˈnɪmbəs
eurasian,jʊˈreɪʒɪn
taxidermy,ˈtæksəˌdərmi
municipally,mjuˈnɪsɪpəli
zone,zoʊn
revered,rɪˈvɪrd
glengarry,ˌglɛnˈgɛri
biracial,baɪˈreɪʃəl
lamely,ˈleɪmli
resort,rɪˈzɔrt
repute,riˈpjut
cloakroom,ˈkloʊˌkrum
briner,ˈbraɪnər
macbeth,məkˈbɛθ
ludden,ˈlədən
gantlet,ˈgɔntlət
protester,ˈproʊˌtɛstər
interagency,ˌɪntərˈeɪʤənsi
rander,ˈrændər
misspelling,mɪˈspɛlɪŋ
creole,ˈkrioʊl
mahone,ˈmæhən
pottinger,ˈpɑtɪŋər
hemiplegia,ˌhɛməˈpliʤjə
unmatched,ənˈmæʧt
hansard,ˈhænsərd
investigate,ˌɪnˈvɛstəˌgeɪt
miscarriage,mɪˈskɛrəʤ
cooper,ˈkupər
beaten,ˈbitən
beneficially,ˌbɛnəˈfɪʃəli
forum,ˈfɔrəm
impending,ˌɪmˈpɛndɪŋ
knoll,noʊl
fraught,frɔt
puma,ˈpumə
emancipate,ɪˈmænsəˌpeɪt
funds,fəndz
wedged,wɛʤd
wintered,ˈwɪntərd
leathery,ˈlɛðəri
gauger,ˈgeɪʤər
sweaty,sˈwɛti
glistening,ˈglɪsənɪŋ
superimposed,ˌsupərəmˈpoʊzd
allowance,əˈlaʊəns
mouthpiece,ˈmaʊθˌpis
blossomed,ˈblɑsəmd
beside,ˌbiˈsaɪd
tower,taʊər
hallmark,ˈhɑlˌmɑrk
headway,ˈhɛdˌweɪ
harrowing,ˈhɛroʊɪŋ
drivel,ˈdrɪvəl
jewry,ˈʤuri
hardhead,ˈhɑrˌdhɛd
orchestrate,ˈɔrkɪˌstreɪt
staff,stæf
full,fʊl
delay,dɪˈleɪ
rimmer,ˈrɪmər
hercules,ˈhərkjəˌliz
sniper,sˈnaɪpər
typographical,ˌtaɪpəˈgræfɪkəl
fare,fɛr
decorous,ˈdɛkərəs
divan,dɪˈvæn
deterioration,dɪˈtɪriərˌeɪʃən
obit,ˈoʊbɪt
jacoby,ʤəˈkoʊbi
usage,ˈjusɪʤ
feigning,ˈfeɪnɪŋ
disbursement,dɪsˈbərsmənt
pan,pæn
revamp,riˈvæmp
verve,vərv
isabella,ˌɪzəˈbɛlə
joining,ˈʤɔɪnɪŋ
dieter,ˈditər
anoint,əˈnɔɪnt
stroud,straʊd
chaser,ˈʧeɪsər
turnover,ˈtərˌnoʊvər
crampon,ˈkræmpɔn
optical,ˈɑptɪkəl
argentina,ˌɑrʤənˈtinə
warbler,ˈwɔrblər
flatly,ˈflætli
jong,ʤɔŋ
redesign,ˌridɪˈzaɪn
lotion,ˈloʊʃən
loggia,ˈlɑgiə
masterful,ˈmæstərfəl
photochemical,ˌfoʊtoʊˈkɛmɪkəl
affrication,ˌæfrəˈkeɪʃən
fuss,fəs
limbless,ˈlɪmləs
howler,ˈhaʊlər
mikado,mɪˈkɑdoʊ
nominally,ˈnɑmənəli
recruiting,rɪˈkrutɪŋ
quid,kwɪd
cracking,ˈkrækɪŋ
outwit,ˈaʊtˌwɪt
scape,skeɪp
haystack,ˈheɪˌstæk
macartney,məˈkɑrtni
randomly,ˈrændəmli
robbin,ˈrɑbɪn
rave,reɪv
rebus,ˈribəs
overbook,ˈoʊvərˌbʊk
excellence,ˈɛksələns
arachnid,əˈræknəd
pinching,ˈpɪnʧɪŋ
winning,ˈwɪnɪŋ
adenine,ˈædəˌnin
parole,pəroʊl
carsick,ˈkɑrsɪk
vesta,ˈvɛstə
pronger,ˈprɔngər
alleviation,əˌliviˈeɪʃən
meaningless,ˈminɪŋləs
predictable,prɪˈdɪktəbəl
skillet,ˈskɪlət
underrepresent,ˌəndərˌrɛprɪˈzɛnt
